,target,source,targ_word,src_word,alternatives,analogy_type
0,k l m n,j l m n,20 22 24 26,18 22 24 26,,letter_analogy_2gen_split6
1,e f f g h i,e f g h i,10 11 12 12 13 14 15 16 17 18,10 11 12 13 14 15 16 17 18,,letter_analogy_2gen_split6
2,j g h i f,f g h i j,a x d x c x b x e x,e x d x c x b x a x,,letter_analogy_2gen_split6
3,p q r s,p q r t,e g i k m o q s,e g i k m o q u,,letter_analogy_2gen_split6
4,g h i j,f h i j,10 11 12 13 14 15 16 17,9 11 12 13 14 15 16 17,,letter_analogy_2gen_split6
5,o p q r l,o p q r s,2 3 4 5 6 7 12 9 10,2 3 4 5 6 7 8 9 10,,letter_analogy_2gen_split6
6,u v w x,u v w y,e x g x i x k x,e x g x i x m x,,letter_analogy_2gen_split6
7,q j k l m,i j k l m,9 8 2 6 5,9 8 7 6 5,,letter_analogy_2gen_split6
8,e f f g h i,e f g h i,11 12 13 14 15 16 17 17 18 19,11 12 13 14 15 16 17 18 19,,letter_analogy_2gen_split6
9,k l m n,k l m n o,b b d d f f h h,b b d d f f h h j j,,letter_analogy_2gen_split6
10,g h i j,g h i j k,l j h f,l j h f d,,letter_analogy_2gen_split6
11,u v w p y,u v w x y,d d f f h h p p l l,d d f f h h j j l l,,letter_analogy_2gen_split6
12,s t u p w,s t u v w,l x m x w x o x p x q x r x s x t x,l x m x n x o x p x q x r x s x t x,,letter_analogy_2gen_split6
13,f g h i,f g h i j,p x r x t x v x,p x r x t x v x x x,,letter_analogy_2gen_split6
14,q r s t t u,q r s t u,24 23 22 22 21 20,24 23 22 21 20,,letter_analogy_2gen_split6
15,e w x y z,v w x y z,2 3 4 5 6 12 8 9 10,2 3 4 5 6 7 8 9 10,,letter_analogy_2gen_split6
16,i g h f j,f g h i j,r t s u q p o n m,u t s r q p o n m,,letter_analogy_2gen_split6
17,l m n o,l m n p,f x e x d x c x,f x e x d x b x,,letter_analogy_2gen_split6
18,s u t v w,s t u v w,a x b x c x i x e x f x g x h x d x,a x b x c x d x e x f x g x h x i x,,letter_analogy_2gen_split6
19,a b z d e,a b c d e,n m l k j i h c f,n m l k j i h g f,,letter_analogy_2gen_split6
20,h i j k,h i j k l,n x m x l x k x,n x m x l x k x j x,,letter_analogy_2gen_split6
21,g g h i j k,g h i j k,6 6 7 7 8 8 9 9 10 10 10 10,6 6 7 7 8 8 9 9 10 10,,letter_analogy_2gen_split6
22,k w x y z,v w x y z,a x v t r,z x v t r,,letter_analogy_2gen_split6
23,a b c d d e,a b c d e,10 10 11 11 11 11 12 12 13 13 14 14,10 10 11 11 12 12 13 13 14 14,,letter_analogy_2gen_split6
24,v x w y z,v w x y z,r x s x t x u x v x w x y x x x z x,r x s x t x u x v x w x x x y x z x,,letter_analogy_2gen_split6
25,g h i j,f h i j,l l n n p p r r,j j n n p p r r,,letter_analogy_2gen_split6
26,r s t u,r s t v,x x w x v x u x,x x w x v x t x,,letter_analogy_2gen_split6
27,v w x y,u w x y,g x f x e x d x,h x f x e x d x,,letter_analogy_2gen_split6
28,i j k l,i j k m,i x h x g x f x,i x h x g x e x,,letter_analogy_2gen_split6
29,s t u v,s t u w,d d f f h h j j,d d f f h h l l,,letter_analogy_2gen_split6
30,v w x p z,v w x y z,n l j d f,n l j h f,,letter_analogy_2gen_split6
31,q r s t,q r s u,m k i g,m k i e,,letter_analogy_2gen_split6
32,s t w v u,s t u v w,20 0 17 0 18 0 19 0 16 0,16 0 17 0 18 0 19 0 20 0,,letter_analogy_2gen_split6
33,i j k l,i j k m,z z y y x x w w,z z y y x x v v,,letter_analogy_2gen_split6
34,h g f i j,f g h i j,g x o x k x m x i x,g x i x k x m x o x,,letter_analogy_2gen_split6
35,e f g i h,e f g h i,2 4 8 6 10,2 4 6 8 10,,letter_analogy_2gen_split6
36,p q e s t,p q r s t,s s x x y y x x u u x x v v x x w w x x,s s x x t t x x u u x x v v x x w w x x,,letter_analogy_2gen_split6
37,s w u v t,s t u v w,14 13 12 15 16 17 18 19 20,12 13 14 15 16 17 18 19 20,,letter_analogy_2gen_split6
38,p q r s,p q r s t,6 8 10 12,6 8 10 12 14,,letter_analogy_2gen_split6
39,n o p q,n o p r,w w v v u u t t,w w v v u u s s,,letter_analogy_2gen_split6
40,r s t u,q s t u,4 6 8 10,2 6 8 10,,letter_analogy_2gen_split6
41,v w y x z,v w x y z,p v u t s r q w o,w v u t s r q p o,,letter_analogy_2gen_split6
42,k o m n l,k l m n o,13 13 16 16 15 15 14 14 17 17,13 13 14 14 15 15 16 16 17 17,,letter_analogy_2gen_split6
43,b c k e f,b c d e f,18 1 22 24 26,18 20 22 24 26,,letter_analogy_2gen_split6
44,g h i j a,g h i j k,e x m x o x q x s x,k x m x o x q x s x,,letter_analogy_2gen_split6
45,j i h k l,h i j k l,f f h h l l j j n n,f f h h j j l l n n,,letter_analogy_2gen_split6
46,n k l m j,j k l m n,5 7 11 9 13,5 7 9 11 13,,letter_analogy_2gen_split6
47,o p q r,o p q s,m x n x o x p x q x r x s x t x,m x n x o x p x q x r x s x u x,,letter_analogy_2gen_split6
48,u t s v w,s t u v w,l f h j d,l j h f d,,letter_analogy_2gen_split6
49,e f g h,e f g i,a x c x e x g x,a x c x e x i x,,letter_analogy_2gen_split6
