,target,source,targ_word,src_word,alternatives,analogy_type
0,b c d e,a c d e,g i k m o q s u,e i k m o q s u,,letter_analogy_2gen_split3
1,d s f g h,d e f g h,11 10 9 4 7,11 10 9 8 7,,letter_analogy_2gen_split3
2,f g h i,e g h i,10 12 14 16,8 12 14 16,,letter_analogy_2gen_split3
3,d t u v w,s t u v w,o m k l g,o m k i g,,letter_analogy_2gen_split3
4,w x y z,v x y z,g x f x e x d x,h x f x e x d x,,letter_analogy_2gen_split3
5,d h f g e,d e f g h,12 13 18 15 16 17 14 19 20,12 13 14 15 16 17 18 19 20,,letter_analogy_2gen_split3
6,c d e f,c d e g,12 13 14 15 16 17 18 19,12 13 14 15 16 17 18 20,,letter_analogy_2gen_split3
7,a b c d,a b c d e,z x v t,z x v t r,,letter_analogy_2gen_split3
8,h i j k,h i j l,i i h h g g f f,i i h h g g e e,,letter_analogy_2gen_split3
9,r s t u,r s t u v,h x i x j x k x l x m x n x o x,h x i x j x k x l x m x n x o x p x,,letter_analogy_2gen_split3
10,p t r s q,p q r s t,e g m k i o q s u,e g i k m o q s u,,letter_analogy_2gen_split3
11,o p p q r s,o p q r s,n x m x l x k x j x j x,n x m x l x k x j x,,letter_analogy_2gen_split3
12,g h i j,g h i k,n x p x r x t x,n x p x r x v x,,letter_analogy_2gen_split3
13,m n h p q,m n o p q,o x t x s x r x q x,u x t x s x r x q x,,letter_analogy_2gen_split3
14,q r s t,p r s t,i i k k m m o o,g g k k m m o o,,letter_analogy_2gen_split3
15,f j h i g,f g h i j,r r s s w w u u v v t t x x y y z z,r r s s t t u u v v w w x x y y z z,,letter_analogy_2gen_split3
16,p q r s,p q r t,8 10 12 14,8 10 12 16,,letter_analogy_2gen_split3
17,i j k l l m,i j k l m,o x q x q x s x u x w x,o x q x s x u x w x,,letter_analogy_2gen_split3
18,o p q r,o p q r s,g i k m o q s u,g i k m o q s u w,,letter_analogy_2gen_split3
19,o r q p s,o p q r s,o o n n m m k k l l,o o n n m m l l k k,,letter_analogy_2gen_split3
20,e c d b f,b c d e f,7 0 10 0 9 0 8 0 11 0,7 0 8 0 9 0 10 0 11 0,,letter_analogy_2gen_split3
21,m n o p,l n o p,g x i x k x m x,e x i x k x m x,,letter_analogy_2gen_split3
22,o l q r s,o p q r s,3 4 6 8 10,2 4 6 8 10,,letter_analogy_2gen_split3
23,f g z i j,f g h i j,g i k m j q s u w,g i k m o q s u w,,letter_analogy_2gen_split3
24,g h i j,g h i k,x v t r,x v t p,,letter_analogy_2gen_split3
25,q o p n r,n o p q r,14 14 11 11 12 12 13 13 10 10,10 10 11 11 12 12 13 13 14 14,,letter_analogy_2gen_split3
26,s t n v w,s t u v w,q x u x t x s x r x,v x u x t x s x r x,,letter_analogy_2gen_split3
27,l m n o,k m n o,f h j l n p r t,d h j l n p r t,,letter_analogy_2gen_split3
28,b c i e f,b c d e f,1 3 11 7 9,1 3 5 7 9,,letter_analogy_2gen_split3
29,f g g h i j,f g h i j,c e g i k m o q s s,c e g i k m o q s,,letter_analogy_2gen_split3
30,o p q r,o p q s,j j x x k k x x l l x x m m x x,j j x x k k x x l l x x n n x x,,letter_analogy_2gen_split3
31,p r q s t,p q r s t,g g k k i i j j h h l l m m n n o o,g g h h i i j j k k l l m m n n o o,,letter_analogy_2gen_split3
32,c d e f,c d e f g,x w v u t s r q,x w v u t s r q p,,letter_analogy_2gen_split3
33,s r t u v,r s t u v,c c e e d d f f b b,f f e e d d c c b b,,letter_analogy_2gen_split3
34,g h l j k,g h i j k,u u t t v v x x z z,r r t t v v x x z z,,letter_analogy_2gen_split3
35,b c d e,b c d e f,8 7 6 5,8 7 6 5 4,,letter_analogy_2gen_split3
36,q r s t t u,q r s t u,20 20 21 21 22 22 23 23 24 24 24 24,20 20 21 21 22 22 23 23 24 24,,letter_analogy_2gen_split3
37,m n o p,m n o p q,22 0 23 0 24 0 25 0,22 0 23 0 24 0 25 0 26 0,,letter_analogy_2gen_split3
38,d c e f g,c d e f g,r x v x t x x x z x,r x t x v x x x z x,,letter_analogy_2gen_split3
39,g h i j,f h i j,i k m o q s u w,g k m o q s u w,,letter_analogy_2gen_split3
40,m n o p q q,m n o p q,b b d d d d f f h h j j,b b d d f f h h j j,,letter_analogy_2gen_split3
41,g e f d h,d e f g h,l l r r n n o o p p q q m m s s t t,l l m m n n o o p p q q r r s s t t,,letter_analogy_2gen_split3
42,t f v w x,t u v w x,b d f h j l n z r,b d f h j l n p r,,letter_analogy_2gen_split3
43,l m n o,k m n o,k k l l m m n n o o p p q q r r,j j l l m m n n o o p p q q r r,,letter_analogy_2gen_split3
44,r s s t u v,r s t u v,y x x x x x w x v x u x,y x x x w x v x u x,,letter_analogy_2gen_split3
45,t u v w,t u v x,j x l x n x p x,j x l x n x r x,,letter_analogy_2gen_split3
46,r s t u,r s t u v,k j i h g f e d,k j i h g f e d c,,letter_analogy_2gen_split3
47,l l m n o p,l m n o p,h x g x f x f x e x d x,h x g x f x e x d x,,letter_analogy_2gen_split3
48,l m n o,k m n o,h h j j l l n n,f f j j l l n n,,letter_analogy_2gen_split3
49,q r s t,q r s t u,x x w x v x u x,x x w x v x u x t x,,letter_analogy_2gen_split3
50,e c d b f,b c d e f,v r t p n,v t r p n,,letter_analogy_2gen_split3
51,m n o p q q,m n o p q,q p o n m l l k j i,q p o n m l k j i,,letter_analogy_2gen_split3
52,k l m n,k l m o,p p r r t t v v,p p r r t t x x,,letter_analogy_2gen_split3
53,m n o o p q,m n o p q,14 14 15 15 16 16 17 17 17 17 18 18,14 14 15 15 16 16 17 17 18 18,,letter_analogy_2gen_split3
54,l m n o,l m n p,11 11 12 12 13 13 14 14,11 11 12 12 13 13 15 15,,letter_analogy_2gen_split3
55,m n o p,m n o q,a c e g i k m o,a c e g i k m q,,letter_analogy_2gen_split3
56,p q r s n,p q r s t,b x f x g x h x i x j x k x l x m x,e x f x g x h x i x j x k x l x m x,,letter_analogy_2gen_split3
57,o p p q r s,o p q r s,18 18 17 16 15 14,18 17 16 15 14,,letter_analogy_2gen_split3
58,r x t u v,r s t u v,z x d x c x b x a x,e x d x c x b x a x,,letter_analogy_2gen_split3
59,e f g h,e f g i,r r x x s s x x t t x x u u x x,r r x x s s x x t t x x v v x x,,letter_analogy_2gen_split3
60,a b c d l,a b c d e,m x q x r x s x t x u x v x w x x x,p x q x r x s x t x u x v x w x x x,,letter_analogy_2gen_split3
61,e f g h,d f g h,12 0 13 0 14 0 15 0,11 0 13 0 14 0 15 0,,letter_analogy_2gen_split3
62,b c d e n,b c d e f,v v u u t t s s y y,v v u u t t s s r r,,letter_analogy_2gen_split3
63,d e f g m,d e f g h,c c e e s s i i k k,c c e e g g i i k k,,letter_analogy_2gen_split3
64,c d e f,b d e f,t x v x x x z x,r x v x x x z x,,letter_analogy_2gen_split3
65,s t u v,s t u v w,12 14 16 18,12 14 16 18 20,,letter_analogy_2gen_split3
66,e f g h h i,e f g h i,n n o o p p q q q q r r s s t t u u v v,n n o o p p q q r r s s t t u u v v,,letter_analogy_2gen_split3
67,d e f g,d e f h,18 0 19 0 20 0 21 0,18 0 19 0 20 0 22 0,,letter_analogy_2gen_split3
68,i j k l,h j k l,x x w x v x u x,y x w x v x u x,,letter_analogy_2gen_split3
69,j k l l m n,j k l m n,l l x x m m x x n n x x o o x x p p x x p p x x,l l x x m m x x n n x x o o x x p p x x,,letter_analogy_2gen_split3
70,j k l m w,j k l m n,p n l z h,p n l j h,,letter_analogy_2gen_split3
71,s z u v w,s t u v w,l t h f d,l j h f d,,letter_analogy_2gen_split3
72,v w x y,v w x y z,v t r p,v t r p n,,letter_analogy_2gen_split3
73,l m n o,k m n o,m x n x o x p x q x r x s x t x,l x n x o x p x q x r x s x t x,,letter_analogy_2gen_split3
74,g k i j h,g h i j k,3 5 9 7 11,3 5 7 9 11,,letter_analogy_2gen_split3
75,d e f g,d e f g h,8 8 9 9 10 10 11 11,8 8 9 9 10 10 11 11 12 12,,letter_analogy_2gen_split3
