,target,source,targ_word,src_word,alternatives,analogy_type
0,h i j k k l,h i j k l,19 0 18 0 17 0 17 0 16 0 15 0,19 0 18 0 17 0 16 0 15 0,,letter_analogy_3gen_split1
1,t q r s p,p q r s t,u x s x m x o x q x,u x s x q x o x m x,,letter_analogy_3gen_split1
2,i j k l l m,i j k l m,6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 14 0,6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0,,letter_analogy_3gen_split1
3,i u v w x,t u v w x,18 18 0 0 19 19 0 0 7 7 0 0 21 21 0 0 22 22 0 0,18 18 0 0 19 19 0 0 20 20 0 0 21 21 0 0 22 22 0 0,,letter_analogy_3gen_split1
4,r s t u,r s t u v,18 17 16 15 14 13 12 11,18 17 16 15 14 13 12 11 10,,letter_analogy_3gen_split1
5,d e f g,d e f h,6 8 10 12 14 16 18 20,6 8 10 12 14 16 18 22,,letter_analogy_3gen_split1
6,m w o p q,m n o p q,7 0 9 0 11 0 13 0 20 0,7 0 9 0 11 0 13 0 15 0,,letter_analogy_3gen_split1
7,k o m n l,k l m n o,10 0 18 0 12 0 13 0 14 0 15 0 16 0 17 0 11 0,10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0,,letter_analogy_3gen_split1
8,i j k l,h j k l,t t x x s s x x r r x x q q x x,u u x x s s x x r r x x q q x x,,letter_analogy_3gen_split1
9,p q y s t,p q r s t,11 11 13 13 15 15 8 8 19 19,11 11 13 13 15 15 17 17 19 19,,letter_analogy_3gen_split1
10,r s t u,r s t v,6 0 5 0 4 0 3 0,6 0 5 0 4 0 2 0,,letter_analogy_3gen_split1
11,c d e f,c d e g,q q o o m m k k,q q o o m m i i,,letter_analogy_3gen_split1
12,w t u v s,s t u v w,4 0 6 0 12 0 10 0 8 0,4 0 6 0 8 0 10 0 12 0,,letter_analogy_3gen_split1
13,o p q r,o p q s,t t x x s s x x r r x x q q x x,t t x x s s x x r r x x p p x x,,letter_analogy_3gen_split1
14,d h f g e,d e f g h,j j x x l l x x r r x x p p x x n n x x,j j x x l l x x n n x x p p x x r r x x,,letter_analogy_3gen_split1
15,a e c d b,a b c d e,e e k k i i g g m m,m m k k i i g g e e,,letter_analogy_3gen_split1
16,n n o p q r,n o p q r,19 17 17 15 13 11,19 17 15 13 11,,letter_analogy_3gen_split1
17,e f h g i,e f g h i,25 0 23 0 24 0 22 0 21 0,25 0 24 0 23 0 22 0 21 0,,letter_analogy_3gen_split1
18,m o n p q,m n o p q,d x t x h x j x l x n x p x r x f x,d x f x h x j x l x n x p x r x t x,,letter_analogy_3gen_split1
19,d e f g,c e f g,d x f x h x j x l x n x p x r x,b x f x h x j x l x n x p x r x,,letter_analogy_3gen_split1
20,o p q r,n p q r,15 15 14 14 13 13 12 12,16 16 14 14 13 13 12 12,,letter_analogy_3gen_split1
21,s t v u w,s t u v w,10 10 11 11 14 14 13 13 12 12 15 15 16 16 17 17 18 18,10 10 11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18,,letter_analogy_3gen_split1
22,i j k k l m,i j k l m,26 25 24 23 23 22 21 20 19 18,26 25 24 23 22 21 20 19 18,,letter_analogy_3gen_split1
23,q q r s t u,q r s t u,22 22 0 0 23 23 0 0 24 24 0 0 25 25 0 0 25 25 0 0 26 26 0 0,22 22 0 0 23 23 0 0 24 24 0 0 25 25 0 0 26 26 0 0,,letter_analogy_3gen_split1
24,l m n o,k m n o,18 0 20 0 22 0 24 0,16 0 20 0 22 0 24 0,,letter_analogy_3gen_split1
25,b c d e,b c d e f,7 7 6 6 5 5 4 4,7 7 6 6 5 5 4 4 3 3,,letter_analogy_3gen_split1
26,h e f g d,d e f g h,c x s x g x i x k x m x o x q x e x,c x e x g x i x k x m x o x q x s x,,letter_analogy_3gen_split1
27,r s w u v,r s t u v,e x g x i x k x f x o x q x s x u x,e x g x i x k x m x o x q x s x u x,,letter_analogy_3gen_split1
28,a b c d d e,a b c d e,26 26 26 26 25 25 24 24 23 23 22 22,26 26 25 25 24 24 23 23 22 22,,letter_analogy_3gen_split1
29,a e c d b,a b c d e,f x r x j x l x n x p x h x t x v x,f x h x j x l x n x p x r x t x v x,,letter_analogy_3gen_split1
30,p q r s,o q r s,i i k k m m o o q q s s u u w w,g g k k m m o o q q s s u u w w,,letter_analogy_3gen_split1
31,b c d e n,b c d e f,8 0 9 0 10 0 11 0 12 0 13 0 26 0 15 0 16 0,8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0,,letter_analogy_3gen_split1
32,m n o p,m n o q,16 16 15 15 14 14 13 13,16 16 15 15 14 14 12 12,,letter_analogy_3gen_split1
33,s t u v,s t u w,c c x x e e x x g g x x i i x x,c c x x e e x x g g x x k k x x,,letter_analogy_3gen_split1
34,f g h i,e g h i,8 10 12 14 16 18 20 22,6 10 12 14 16 18 20 22,,letter_analogy_3gen_split1
35,i j k k l m,i j k l m,12 0 12 0 11 0 10 0 9 0 8 0,12 0 11 0 10 0 9 0 8 0,,letter_analogy_3gen_split1
36,r s t u,r s t u v,h x j x l x n x p x r x t x v x,h x j x l x n x p x r x t x v x x x,,letter_analogy_3gen_split1
37,r u t s v,r s t u v,n n t t s s r r q q p p o o u u m m,u u t t s s r r q q p p o o n n m m,,letter_analogy_3gen_split1
38,l n m o p,l m n o p,6 0 7 0 11 0 9 0 10 0 8 0 12 0 13 0 14 0,6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0,,letter_analogy_3gen_split1
39,s t u v,r t u v,16 16 15 15 14 14 13 13,17 17 15 15 14 14 13 13,,letter_analogy_3gen_split1
40,q o p n r,n o p q r,r r x x s s x x q q x x p p x x o o x x,s s x x r r x x q q x x p p x x o o x x,,letter_analogy_3gen_split1
41,p q r s,p q r t,z z x x y y x x x x x x w w x x,z z x x y y x x x x x x v v x x,,letter_analogy_3gen_split1
42,p n o m q,m n o p q,q q x x s s x x u u x x y y x x w w x x,q q x x s s x x u u x x w w x x y y x x,,letter_analogy_3gen_split1
43,g h i j,f h i j,e e g g i i k k m m o o q q s s,c c g g i i k k m m o o q q s s,,letter_analogy_3gen_split1
44,t u v w,t u v w x,2 4 6 8 10 12 14 16,2 4 6 8 10 12 14 16 18,,letter_analogy_3gen_split1
45,k l m n,k l m o,9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0,9 0 10 0 11 0 12 0 13 0 14 0 15 0 17 0,,letter_analogy_3gen_split1
46,s q r p t,p q r s t,18 18 14 14 16 16 12 12 20 20,12 12 14 14 16 16 18 18 20 20,,letter_analogy_3gen_split1
47,u v w x,u v w y,p p x x r r x x t t x x v v x x,p p x x r r x x t t x x x x x x,,letter_analogy_3gen_split1
48,n o p r q,n o p q r,p x r x t x n x l x,t x r x p x n x l x,,letter_analogy_3gen_split1
49,n o p x r,n o p q r,j j l l n n p p r r t t o o x x z z,j j l l n n p p r r t t v v x x z z,,letter_analogy_3gen_split1
