,target,source,targ_word,src_word,alternatives,analogy_type
0,d e f f g h,d e f g h,1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 9 0,1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0,,letter_analogy_3gen_split5
1,t u v w,t u v x,10 10 11 11 12 12 13 13 14 14 15 15 16 16 17 17,10 10 11 11 12 12 13 13 14 14 15 15 16 16 18 18,,letter_analogy_3gen_split5
2,r s t u,r s t u v,m x l x k x j x i x h x g x f x,m x l x k x j x i x h x g x f x e x,,letter_analogy_3gen_split5
3,c d e f,c d e f g,6 8 10 12 14 16 18 20,6 8 10 12 14 16 18 20 22,,letter_analogy_3gen_split5
4,o p q r,n p q r,20 19 18 17 16 15 14 13,21 19 18 17 16 15 14 13,,letter_analogy_3gen_split5
5,a b c q e,a b c d e,2 2 3 3 4 4 5 5 16 16 7 7 8 8 9 9 10 10,2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,,letter_analogy_3gen_split5
6,f g h i,e g h i,d x f x h x j x l x n x p x r x,b x f x h x j x l x n x p x r x,,letter_analogy_3gen_split5
7,b j k l m,i j k l m,16 16 17 17 18 18 19 19 20 20 21 21 22 22 23 23 4 4,16 16 17 17 18 18 19 19 20 20 21 21 22 22 23 23 24 24,,letter_analogy_3gen_split5
8,e f g h,e f g h i,n x l x j x h x,n x l x j x h x f x,,letter_analogy_3gen_split5
9,v x w y z,v w x y z,f x h x j x l x n x v x r x t x p x,f x h x j x l x n x p x r x t x v x,,letter_analogy_3gen_split5
10,c d e f,b d e f,l l x x n n x x p p x x r r x x,j j x x n n x x p p x x r r x x,,letter_analogy_3gen_split5
11,e f g i h,e f g h i,12 0 11 0 10 0 8 0 9 0,12 0 11 0 10 0 9 0 8 0,,letter_analogy_3gen_split5
12,a b c c d e,a b c d e,8 0 9 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0,8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0,,letter_analogy_3gen_split5
13,l m n o,k m n o,3 3 5 5 7 7 9 9,1 1 5 5 7 7 9 9,,letter_analogy_3gen_split5
14,o x q r s,o p q r s,7 7 0 0 8 8 0 0 9 9 0 0 4 4 0 0 11 11 0 0,7 7 0 0 8 8 0 0 9 9 0 0 10 10 0 0 11 11 0 0,,letter_analogy_3gen_split5
15,d e f g j,d e f g h,5 5 4 4 3 3 2 2 13 13,5 5 4 4 3 3 2 2 1 1,,letter_analogy_3gen_split5
16,o p q r,o p q s,m m k k i i g g,m m k k i i e e,,letter_analogy_3gen_split5
17,h i j k z,h i j k l,10 10 9 9 11 11 7 7 6 6,10 10 9 9 8 8 7 7 6 6,,letter_analogy_3gen_split5
18,w x y z,v x y z,j j i i h h g g f f e e d d c c,k k i i h h g g f f e e d d c c,,letter_analogy_3gen_split5
19,n o p q,n o p r,23 22 21 20 19 18 17 16,23 22 21 20 19 18 17 15,,letter_analogy_3gen_split5
20,j k l m f,j k l m n,c x o x m x k x i x,q x o x m x k x i x,,letter_analogy_3gen_split5
21,g h i j,g h i k,v t r p n l j h,v t r p n l j f,,letter_analogy_3gen_split5
22,f g h i,e g h i,r x q x p x o x n x m x l x k x,s x q x p x o x n x m x l x k x,,letter_analogy_3gen_split5
23,r s t u,q s t u,t t s s r r q q p p o o n n m m,u u s s r r q q p p o o n n m m,,letter_analogy_3gen_split5
24,i j k l,i j k l m,l l j j h h f f,l l j j h h f f d d,,letter_analogy_3gen_split5
25,d e f g,c e f g,o o m m k k i i,q q m m k k i i,,letter_analogy_3gen_split5
26,c b d e f,b c d e f,k x e x g x i x c x m x o x q x s x,c x e x g x i x k x m x o x q x s x,,letter_analogy_3gen_split5
27,d e f g,d e f h,p p x x q q x x r r x x s s x x t t x x u u x x v v x x w w x x,p p x x q q x x r r x x s s x x t t x x u u x x v v x x x x x x,,letter_analogy_3gen_split5
28,b c d l f,b c d e f,21 21 0 0 19 19 0 0 23 23 0 0 24 24 0 0 25 25 0 0,21 21 0 0 22 22 0 0 23 23 0 0 24 24 0 0 25 25 0 0,,letter_analogy_3gen_split5
29,l m n o,l m n p,26 26 25 25 24 24 23 23,26 26 25 25 24 24 22 22,,letter_analogy_3gen_split5
30,k l m n,j l m n,c c e e g g i i k k m m o o q q,a a e e g g i i k k m m o o q q,,letter_analogy_3gen_split5
31,j k l l m n,j k l m n,2 2 3 3 4 4 4 4 5 5 6 6 7 7 8 8 9 9 10 10,2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,,letter_analogy_3gen_split5
32,b c d e,b c d e f,f f h h j j l l n n p p r r t t,f f h h j j l l n n p p r r t t v v,,letter_analogy_3gen_split5
33,i j k l,i j k l m,b b d d f f h h j j l l n n p p,b b d d f f h h j j l l n n p p r r,,letter_analogy_3gen_split5
34,c b a d e,a b c d e,v v x x y y x x x x x x w w x x z z x x,z z x x y y x x x x x x w w x x v v x x,,letter_analogy_3gen_split5
35,e f h g i,e f g h i,4 0 12 0 8 0 10 0 6 0,4 0 6 0 8 0 10 0 12 0,,letter_analogy_3gen_split5
36,g h i j,g h i j k,a a c c e e g g i i k k m m o o,a a c c e e g g i i k k m m o o q q,,letter_analogy_3gen_split5
37,e f g h,e f g h i,r r p p n n l l,r r p p n n l l j j,,letter_analogy_3gen_split5
38,c d e f,c d e g,23 23 22 22 21 21 20 20,23 23 22 22 21 21 19 19,,letter_analogy_3gen_split5
39,u v w x,u v w x y,11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18,11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18 19 19,,letter_analogy_3gen_split5
40,t u v w,t u v w x,12 0 11 0 10 0 9 0,12 0 11 0 10 0 9 0 8 0,,letter_analogy_3gen_split5
41,e f g h,e f g i,17 17 18 18 19 19 20 20 21 21 22 22 23 23 24 24,17 17 18 18 19 19 20 20 21 21 22 22 23 23 25 25,,letter_analogy_3gen_split5
42,k j l m n,j k l m n,m m l l k k j j i i h h f f g g e e,m m l l k k j j i i h h g g f f e e,,letter_analogy_3gen_split5
43,u u v w x y,u v w x y,i i k k m m o o q q q q s s u u w w y y,i i k k m m o o q q s s u u w w y y,,letter_analogy_3gen_split5
44,k l m x o,k l m n o,j j i i h h p p f f e e d d c c b b,j j i i h h g g f f e e d d c c b b,,letter_analogy_3gen_split5
45,n o p q,n o p r,8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15,8 8 9 9 10 10 11 11 12 12 13 13 14 14 16 16,,letter_analogy_3gen_split5
46,l m m n o p,l m n o p,p p x x r r x x r r x x t t x x v v x x x x x x,p p x x r r x x t t x x v v x x x x x x,,letter_analogy_3gen_split5
47,b c d e,b c d e f,r r x x t t x x v v x x x x x x,r r x x t t x x v v x x x x x x z z x x,,letter_analogy_3gen_split5
48,b c d e,a c d e,x x x x w w x x v v x x u u x x,y y x x w w x x v v x x u u x x,,letter_analogy_3gen_split5
49,o p q r,o p q s,9 9 0 0 10 10 0 0 11 11 0 0 12 12 0 0,9 9 0 0 10 10 0 0 11 11 0 0 13 13 0 0,,letter_analogy_3gen_split5
