,target,source,targ_word,src_word,alternatives,analogy_type
0,g h i j,f h i j,12 14 16 18 20 22 24 26,10 14 16 18 20 22 24 26,,letter_analogy_3gen_split6
1,n q r s t,p q r s t,10 10 7 7 6 6 5 5 4 4,8 8 7 7 6 6 5 5 4 4,,letter_analogy_3gen_split6
2,d e i g h,d e f g h,1 1 2 2 3 3 10 10 5 5 6 6 7 7 8 8 9 9,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9,,letter_analogy_3gen_split6
3,m n o p,m n o p q,1 1 3 3 5 5 7 7,1 1 3 3 5 5 7 7 9 9,,letter_analogy_3gen_split6
4,r t s u v,r s t u v,f f x x g g x x h h x x j j x x i i x x k k x x l l x x m m x x n n x x,f f x x g g x x h h x x i i x x j j x x k k x x l l x x m m x x n n x x,,letter_analogy_3gen_split6
5,b c d e,b c d f,5 7 9 11 13 15 17 19,5 7 9 11 13 15 17 21,,letter_analogy_3gen_split6
6,l m n o,l m n p,6 6 5 5 4 4 3 3,6 6 5 5 4 4 2 2,,letter_analogy_3gen_split6
7,e f g h h i,e f g h i,g g x x f f x x e e x x e e x x d d x x c c x x,g g x x f f x x e e x x d d x x c c x x,,letter_analogy_3gen_split6
8,o o p q r s,o p q r s,t t r p n l j h f d,t r p n l j h f d,,letter_analogy_3gen_split6
9,a b c e d,a b c d e,j x c x h x g x f x e x d x i x b x,j x i x h x g x f x e x d x c x b x,,letter_analogy_3gen_split6
10,c g e f d,c d e f g,15 15 12 12 13 13 14 14 11 11,15 15 14 14 13 13 12 12 11 11,,letter_analogy_3gen_split6
11,g h i i j k,g h i j k,f f x x f f x x e e x x d d x x c c x x b b x x,f f x x e e x x d d x x c c x x b b x x,,letter_analogy_3gen_split6
12,v w x y,v w x z,c c x x e e x x g g x x i i x x,c c x x e e x x g g x x k k x x,,letter_analogy_3gen_split6
13,d e f g,d e f g h,14 0 16 0 18 0 20 0,14 0 16 0 18 0 20 0 22 0,,letter_analogy_3gen_split6
14,h i j k,h i j k l,24 23 22 21 20 19 18 17,24 23 22 21 20 19 18 17 16,,letter_analogy_3gen_split6
15,b c d e,b c d e f,17 17 18 18 19 19 20 20 21 21 22 22 23 23 24 24,17 17 18 18 19 19 20 20 21 21 22 22 23 23 24 24 25 25,,letter_analogy_3gen_split6
16,i h j k l,h i j k l,6 6 4 4 5 5 3 3 7 7 8 8 9 9 10 10 11 11,3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11,,letter_analogy_3gen_split6
