,target,source,targ_word,src_word,alternatives,analogy_type
0,o p q r,n p q r,t t x x u u x x v v x x w w x x,s s x x u u x x v v x x w w x x,,letter_analogy_2gen_split4
1,l m n o q,l m n o p,4 14 13 12 11,15 14 13 12 11,,letter_analogy_2gen_split4
2,m n o p,m n o q,n l j h,n l j f,,letter_analogy_2gen_split4
3,u v w x,u v w x y,2 4 6 8,2 4 6 8 10,,letter_analogy_2gen_split4
4,d e f g,d e f g h,14 16 18 20,14 16 18 20 22,,letter_analogy_2gen_split4
5,l m n o,l m n o p,n n o o p p q q r r s s t t u u,n n o o p p q q r r s s t t u u v v,,letter_analogy_2gen_split4
6,g h i i j k,g h i j k,e e g g i i k k k k m m,e e g g i i k k m m,,letter_analogy_2gen_split4
7,v w x y,v w x z,s s x x t t x x u u x x v v x x,s s x x t t x x u u x x w w x x,,letter_analogy_2gen_split4
8,j k l m,j k l m n,i x h x g x f x,i x h x g x f x e x,,letter_analogy_2gen_split4
9,o p q r,n p q r,d x f x h x j x,b x f x h x j x,,letter_analogy_2gen_split4
10,p q f s t,p q r s t,d f h j l n p r v,d f h j l n p r t,,letter_analogy_2gen_split4
11,k l m n,k l m n o,v u t s r q p o,v u t s r q p o n,,letter_analogy_2gen_split4
12,v w x y n,v w x y z,18 20 22 13 26,18 20 22 24 26,,letter_analogy_2gen_split4
13,l m n o,l m n p,b b d d f f h h,b b d d f f j j,,letter_analogy_2gen_split4
14,k l m n,j l m n,14 14 15 15 16 16 17 17,13 13 15 15 16 16 17 17,,letter_analogy_2gen_split4
15,t u v w,s u v w,11 12 13 14 15 16 17 18,10 12 13 14 15 16 17 18,,letter_analogy_2gen_split4
16,l n m o p,l m n o p,r x t x v x z x x x,r x t x v x x x z x,,letter_analogy_2gen_split4
17,j b c d e,a b c d e,21 20 19 18 12,21 20 19 18 17,,letter_analogy_2gen_split4
18,s t u v,s t u v w,o o x x p p x x q q x x r r x x,o o x x p p x x q q x x r r x x s s x x,,letter_analogy_2gen_split4
19,t u v g x,t u v w x,10 11 12 13 14 15 16 1 18,10 11 12 13 14 15 16 17 18,,letter_analogy_2gen_split4
20,s t u v,s t u w,h j l n p r t v,h j l n p r t x,,letter_analogy_2gen_split4
21,x k l m n,j k l m n,n x o x j x q x r x s x t x u x v x,n x o x p x q x r x s x t x u x v x,,letter_analogy_2gen_split4
22,i j k k l m,i j k l m,x v t r r p,x v t r p,,letter_analogy_2gen_split4
