,target,source,targ_word,src_word,alternatives,analogy_type
0,h i o k l,h i j k l,q q p p o o c c m m,q q p p o o n n m m,,letter_analogy_2gen_split2
1,l m n o,l m n p,10 10 11 11 12 12 13 13,10 10 11 11 12 12 14 14,,letter_analogy_2gen_split2
2,p q r s,p q r t,5 7 9 11,5 7 9 13,,letter_analogy_2gen_split2
3,m n o p,l n o p,r r q q p p o o,s s q q p p o o,,letter_analogy_2gen_split2
4,s p q r o,o p q r s,j l x p r t v n z,j l n p r t v x z,,letter_analogy_2gen_split2
5,y v w x u,u v w x y,h n l j p,p n l j h,,letter_analogy_2gen_split2
6,r c d e f,b c d e f,6 0 11 0 8 0 9 0 10 0,6 0 7 0 8 0 9 0 10 0,,letter_analogy_2gen_split2
7,n l m k o,k l m n o,16 17 18 19 20 21 22 24 23,16 17 18 19 20 21 22 23 24,,letter_analogy_2gen_split2
8,a c b d e,a b c d e,f k j i h g l e d,l k j i h g f e d,,letter_analogy_2gen_split2
9,a b c d,a b c d e,9 10 11 12 13 14 15 16,9 10 11 12 13 14 15 16 17,,letter_analogy_2gen_split2
10,d e f g h h,d e f g h,m m l l k k j j i i i i,m m l l k k j j i i,,letter_analogy_2gen_split2
11,j j k l m n,j k l m n,13 14 15 16 17 18 19 20 21 21,13 14 15 16 17 18 19 20 21,,letter_analogy_2gen_split2
12,c d e t g,c d e f g,a x m x l x k x j x,n x m x l x k x j x,,letter_analogy_2gen_split2
13,t u v w,t u v x,l l x x m m x x n n x x o o x x,l l x x m m x x n n x x p p x x,,letter_analogy_2gen_split2
14,i j j k l m,i j k l m,c x e x g x i x i x k x,c x e x g x i x k x,,letter_analogy_2gen_split2
15,d e f g,c e f g,p x o x n x m x,q x o x n x m x,,letter_analogy_2gen_split2
16,p p q r s t,p q r s t,v v u u t t t t s s r r,v v u u t t s s r r,,letter_analogy_2gen_split2
17,a b c d,a b c e,x x w x v x u x,x x w x v x t x,,letter_analogy_2gen_split2
18,v v w x y z,v w x y z,g x i x i x k x m x o x,g x i x k x m x o x,,letter_analogy_2gen_split2
19,g h i j,g h i j k,u t s r q p o n,u t s r q p o n m,,letter_analogy_2gen_split2
20,d e f g,d e f h,z x y x x x w x,z x y x x x v x,,letter_analogy_2gen_split2
21,m n o p,l n o p,j l n p r t v x,h l n p r t v x,,letter_analogy_2gen_split2
22,d e f g n,d e f g h,6 6 7 7 8 8 9 9 17 17,6 6 7 7 8 8 9 9 10 10,,letter_analogy_2gen_split2
23,c d e f,b d e f,13 15 17 19,11 15 17 19,,letter_analogy_2gen_split2
24,o p q r,n p q r,m m o o q q s s,k k o o q q s s,,letter_analogy_2gen_split2
25,c e f g h,d e f g h,h x f x j x k x l x m x n x o x p x,h x i x j x k x l x m x n x o x p x,,letter_analogy_2gen_split2
26,s t u v,s t u w,1 1 2 2 3 3 4 4,1 1 2 2 3 3 5 5,,letter_analogy_2gen_split2
27,l m n n o p,l m n o p,n l j h h f,n l j h f,,letter_analogy_2gen_split2
28,h i j k,g i j k,o n m l k j i h,p n m l k j i h,,letter_analogy_2gen_split2
29,t u v w,s u v w,15 16 17 18 19 20 21 22,14 16 17 18 19 20 21 22,,letter_analogy_2gen_split2
30,s t u v,s t u w,10 9 8 7,10 9 8 6,,letter_analogy_2gen_split2
31,q r h t u,q r s t u,p p d d n n m m l l,p p o o n n m m l l,,letter_analogy_2gen_split2
32,h i w k l,h i j k l,a n e g i k m o q,a c e g i k m o q,,letter_analogy_2gen_split2
33,i j k l,i j k m,t s r q p o n m,t s r q p o n l,,letter_analogy_2gen_split2
34,o p r q s,o p q r s,13 14 21 16 17 18 19 20 15,13 14 15 16 17 18 19 20 21,,letter_analogy_2gen_split2
35,c d e f,c d e g,n l j h,n l j f,,letter_analogy_2gen_split2
36,m n o p,m n o q,d d e e f f g g h h i i j j k k,d d e e f f g g h h i i j j l l,,letter_analogy_2gen_split2
37,u u v w x y,u v w x y,i i k k k k m m o o q q,i i k k m m o o q q,,letter_analogy_2gen_split2
38,q r s t,p r s t,o x q x s x u x,m x q x s x u x,,letter_analogy_2gen_split2
39,h i j k,h i j k l,r p n l,r p n l j,,letter_analogy_2gen_split2
40,u r s t q,q r s t u,n x o x u x q x r x s x t x p x v x,n x o x p x q x r x s x t x u x v x,,letter_analogy_2gen_split2
41,m n o p p q,m n o p q,26 25 24 23 22 22,26 25 24 23 22,,letter_analogy_2gen_split2
42,u v w x,u v w x y,24 23 22 21,24 23 22 21 20,,letter_analogy_2gen_split2
43,p q r s,p q r s t,b d f h j l n p,b d f h j l n p r,,letter_analogy_2gen_split2
44,q p o r s,o p q r s,j x c x d x e x f x g x h x i x b x,b x c x d x e x f x g x h x i x j x,,letter_analogy_2gen_split2
45,i h j k l,h i j k l,u u x x t t x x v v x x w w x x x x x x,t t x x u u x x v v x x w w x x x x x x,,letter_analogy_2gen_split2
46,g h j i k,g h i j k,17 19 21 25 23,17 19 21 23 25,,letter_analogy_2gen_split2
47,v z x y w,v w x y z,k k x x n n x x m m x x l l x x o o x x,k k x x l l x x m m x x n n x x o o x x,,letter_analogy_2gen_split2
48,m n o p,l n o p,18 19 20 21 22 23 24 25,17 19 20 21 22 23 24 25,,letter_analogy_2gen_split2
49,f b c d e,a b c d e,r x d x t x u x v x w x x x y x z x,r x s x t x u x v x w x x x y x z x,,letter_analogy_2gen_split2
