,target,source,targ_word,src_word,alternatives,analogy_type
0,m n n o p q,m n o p q,e e x x g g x x i i x x i i x x k k x x m m x x,e e x x g g x x i i x x k k x x m m x x,,letter_analogy_3gen_split2
1,m m n o p q,m n o p q,13 12 11 10 9 8 7 7 6 5,13 12 11 10 9 8 7 6 5,,letter_analogy_3gen_split2
2,t u v w,t u v w x,u s q o m k i g,u s q o m k i g e,,letter_analogy_3gen_split2
3,u v w x,u v w x y,13 12 11 10 9 8 7 6,13 12 11 10 9 8 7 6 5,,letter_analogy_3gen_split2
4,v w x y,v w x y z,16 14 12 10,16 14 12 10 8,,letter_analogy_3gen_split2
5,n x p q r,n o p q r,o o d d m m l l k k j j i i h h g g,o o n n m m l l k k j j i i h h g g,,letter_analogy_3gen_split2
6,l m n o,k m n o,p p x x r r x x t t x x v v x x,n n x x r r x x t t x x v v x x,,letter_analogy_3gen_split2
7,p q r s,p q r t,i x h x g x f x e x d x c x b x,i x h x g x f x e x d x c x a x,,letter_analogy_3gen_split2
8,k l m n,k l m n o,9 0 8 0 7 0 6 0,9 0 8 0 7 0 6 0 5 0,,letter_analogy_3gen_split2
9,g h i j,g h i k,8 0 7 0 6 0 5 0,8 0 7 0 6 0 4 0,,letter_analogy_3gen_split2
10,f c d e b,b c d e f,16 14 12 8 10,16 14 12 10 8,,letter_analogy_3gen_split2
11,q r s t,p r s t,p p x x q q x x r r x x s s x x t t x x u u x x v v x x w w x x,o o x x q q x x r r x x s s x x t t x x u u x x v v x x w w x x,,letter_analogy_3gen_split2
12,b c d e,b c d e f,l x k x j x i x h x g x f x e x,l x k x j x i x h x g x f x e x d x,,letter_analogy_3gen_split2
13,d e f f g h,d e f g h,t t x x t t x x s s x x r r x x q q x x p p x x,t t x x s s x x r r x x q q x x p p x x,,letter_analogy_3gen_split2
14,c d e f,b d e f,x v t r p n l j,z v t r p n l j,,letter_analogy_3gen_split2
15,n o p p q r,n o p q r,21 20 19 18 18 17 16 15 14 13,21 20 19 18 17 16 15 14 13,,letter_analogy_3gen_split2
16,e f g h,e f g i,j x l x n x p x r x t x v x x x,j x l x n x p x r x t x v x z x,,letter_analogy_3gen_split2
17,g h i j,g h i k,i x k x m x o x q x s x u x w x,i x k x m x o x q x s x u x y x,,letter_analogy_3gen_split2
18,f g h h i j,f g h i j,11 0 10 0 9 0 8 0 7 0 7 0,11 0 10 0 9 0 8 0 7 0,,letter_analogy_3gen_split2
19,q r s t u u,q r s t u,w x v x u x u x t x s x r x q x p x o x,w x v x u x t x s x r x q x p x o x,,letter_analogy_3gen_split2
20,m n o p,m n o q,9 7 5 3,9 7 5 1,,letter_analogy_3gen_split2
21,s t u w v,s t u v w,3 0 5 0 4 0 6 0 2 0,6 0 5 0 4 0 3 0 2 0,,letter_analogy_3gen_split2
22,g h i c k,g h i j k,n x d x j x h x f x,n x l x j x h x f x,,letter_analogy_3gen_split2
23,j k l m,j k l m n,g x i x k x m x o x q x s x u x,g x i x k x m x o x q x s x u x w x,,letter_analogy_3gen_split2
24,r s t u,q s t u,5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0,4 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0,,letter_analogy_3gen_split2
25,r s t u,r s t u v,b b x x d d x x f f x x h h x x,b b x x d d x x f f x x h h x x j j x x,,letter_analogy_3gen_split2
26,t u v w,t u v x,25 24 23 22 21 20 19 18,25 24 23 22 21 20 19 17,,letter_analogy_3gen_split2
27,q r s t,p r s t,m m x x o o x x q q x x s s x x,k k x x o o x x q q x x s s x x,,letter_analogy_3gen_split2
28,a b c d v,a b c d e,18 0 9 0 11 0 13 0 15 0,7 0 9 0 11 0 13 0 15 0,,letter_analogy_3gen_split2
29,r t s u v,r s t u v,k k x x g g x x h h x x i i x x j j x x f f x x l l x x m m x x n n x x,f f x x g g x x h h x x i i x x j j x x k k x x l l x x m m x x n n x x,,letter_analogy_3gen_split2
30,r s t u,q s t u,11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0,10 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0,,letter_analogy_3gen_split2
31,b c d e,a c d e,i i g g e e c c,k k g g e e c c,,letter_analogy_3gen_split2
32,l m n o,l m n o p,2 4 6 8 10 12 14 16,2 4 6 8 10 12 14 16 18,,letter_analogy_3gen_split2
33,l m n o c,l m n o p,20 20 26 26 18 18 17 17 16 16,20 20 19 19 18 18 17 17 16 16,,letter_analogy_3gen_split2
34,m n o p,m n o q,12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0,12 0 13 0 14 0 15 0 16 0 17 0 18 0 20 0,,letter_analogy_3gen_split2
35,f g h i,f g h i j,21 0 20 0 19 0 18 0,21 0 20 0 19 0 18 0 17 0,,letter_analogy_3gen_split2
36,f g h i,f g h j,3 3 0 0 4 4 0 0 5 5 0 0 6 6 0 0,3 3 0 0 4 4 0 0 5 5 0 0 7 7 0 0,,letter_analogy_3gen_split2
37,f d e c g,c d e f g,t r p j l n h f d,t r p n l j h f d,,letter_analogy_3gen_split2
38,k l m n,k l m n o,j j h h f f d d,j j h h f f d d b b,,letter_analogy_3gen_split2
39,p q r s,p q r s t,z z x x v v t t,z z x x v v t t r r,,letter_analogy_3gen_split2
40,u v w x,u v w x y,8 8 0 0 9 9 0 0 10 10 0 0 11 11 0 0,8 8 0 0 9 9 0 0 10 10 0 0 11 11 0 0 12 12 0 0,,letter_analogy_3gen_split2
41,s t u c w,s t u v w,t t s s r r q q p p o o n n d d l l,t t s s r r q q p p o o n n m m l l,,letter_analogy_3gen_split2
42,b c d e,a c d e,17 0 18 0 19 0 20 0 21 0 22 0 23 0 24 0,16 0 18 0 19 0 20 0 21 0 22 0 23 0 24 0,,letter_analogy_3gen_split2
